Session 2023
1,USA,L. Sargeant,98,0,5
2,China,G. Zhou,92,2,6
3,Spain,C. Sainz,92,0,0
4,Germany,N. Hülkenberg,90,2,2
5,United Kingdom,G. Russell,87,3,4
6,Denmark,K. Magnussen,84,0,4
7,United Kingdom,L. Hamilton,82,3,3
8,Spain,F. Alonso,80,3,3
9,Canada,L. Stroll,78,1,2
10,Netherlands,M. Verstappen,77,0,2
11,France,P. Gasly,73,1,2
12,Monaco,C. Leclerc,73,0,4
13,Netherlands,N. de Vries,62,1,1
14,France,E. Ocon,59,2,2
15,Japan,Y. Tsunoda,45,1,2
16,Mexico,S. Perez,28,1,1
17,Finland,V. Bottas,15,0,0
18,United Kingdom,L. Norris,10,0,0
19,Australia,O. Piastri,8,0,0
20,Thailand,A. Albon,4,0,0
