Session 2023
1,United Kingdom,L. Norris,98,0,1
2,Australia,O. Piastri,88,0,1
3,Germany,N. Hülkenberg,83,3,3
4,Mexico,S. Perez,66,0,6
5,France,P. Gasly,63,1,2
6,United Kingdom,G. Russell,59,1,4
7,China,G. Zhou,50,0,3
8,Monaco,C. Leclerc,47,0,0
9,Japan,Y. Tsunoda,45,0,4
10,United Kingdom,L. Hamilton,33,0,0
11,France,E. Ocon,30,1,1
12,Netherlands,N. de Vries,30,1,1
13,Denmark,K. Magnussen,29,0,0
14,Canada,L. Stroll,28,1,1
15,Spain,C. Sainz,27,1,1
16,USA,L. Sargeant,24,0,1
17,Finland,V. Bottas,22,0,2
18,Thailand,A. Albon,14,0,0
19,Spain,F. Alonso,2,0,0
20,Netherlands,M. Verstappen,0,0,0
