Session 2023
1,Canada,L. Stroll,100,0,9
2,Finland,V. Bottas,89,1,5
3,Japan,Y. Tsunoda,85,0,1
4,United Kingdom,G. Russell,83,2,3
5,United Kingdom,L. Hamilton,80,0,3
6,Germany,N. Hülkenberg,76,1,2
7,Monaco,C. Leclerc,75,0,4
8,Australia,O. Piastri,73,1,2
9,USA,L. Sargeant,72,0,1
10,Thailand,A. Albon,67,1,3
11,Netherlands,M. Verstappen,57,1,1
12,United Kingdom,L. Norris,46,1,2
13,Netherlands,N. de Vries,44,0,3
14,Spain,C. Sainz,38,1,1
15,France,P. Gasly,30,1,1
16,Mexico,S. Perez,19,0,1
17,Spain,F. Alonso,17,0,0
18,Denmark,K. Magnussen,15,0,1
19,France,E. Ocon,15,0,0
20,China,G. Zhou,5,0,0
