Session 2023
1,United Kingdom,L. Norris,100,2,2
2,France,E. Ocon,91,2,6
3,Mexico,S. Perez,90,2,6
4,United Kingdom,G. Russell,88,3,4
5,Australia,O. Piastri,84,0,8
6,Japan,Y. Tsunoda,79,3,3
7,France,P. Gasly,76,1,4
8,China,G. Zhou,70,1,5
9,Monaco,C. Leclerc,68,2,3
10,Spain,F. Alonso,59,2,2
11,Germany,N. Hülkenberg,47,0,3
12,Finland,V. Bottas,47,0,3
13,Netherlands,M. Verstappen,42,1,2
14,United Kingdom,L. Hamilton,39,1,1
15,Denmark,K. Magnussen,28,1,1
16,Spain,C. Sainz,23,0,2
17,Netherlands,N. de Vries,22,0,2
18,Thailand,A. Albon,11,0,1
19,Canada,L. Stroll,7,0,0
20,USA,L. Sargeant,5,0,0
